FlexPDE Version 7.21/OSXm  12:20:20 Dec  9 2022
(Times listed are wall-clock times, not charged CPU).

START /Users/garretlanglois/Documents/GitHub/2CM4_DA2/DA2 Nathan.pde  12:31:41 2/8/24
 +00:00:00| Mesh Generation Complete
 +00:00:00| Mesh dump written to /Users/garretlanglois/Documents/GitHub/2CM4_DA2/DA2 Nathan_output/DA2 Nathan_initialmesh.xfr
Using 1 Threads  Cubic speed Curvature 
 +00:00:01| Step 2 Time= 0.012000 Dt= 0.004859 Nodes=231 Cells=408 DOF=1915 RMS ERR= 0.002603 MAX ERR= 0.005302 TIME ERR= 0.003050 Orthomin/ILU=(35) MEM(KiB)=18158 
 +00:00:01| Step 3 Time= 0.016859 Dt= 0.004859 Nodes=231 Cells=408 DOF=1915 RMS ERR= 0.003565 MAX ERR= 0.007248 TIME ERR= 2.895e-5 Orthomin/ILU=(36) MEM(KiB)=18158 
 +00:00:01| Step 4 Time= 0.022932 Dt= 0.006073 Nodes=231 Cells=408 DOF=1915 RMS ERR= 0.004707 MAX ERR= 0.009546 TIME ERR= 9.006e-5 Orthomin/ILU=(35) MEM(KiB)=18158 
 +00:00:01| Step 5 Time= 0.030523 Dt= 0.007592 Nodes=231 Cells=408 DOF=1915 RMS ERR= 0.006046 MAX ERR= 0.012216 TIME ERR= 4.728e-5 Orthomin/ILU=(35) MEM(KiB)=18158 
 +00:00:01| Step 6 Time= 0.040013 Dt= 0.009489 Nodes=231 Cells=408 DOF=1915 RMS ERR= 0.007594 MAX ERR= 0.015262 TIME ERR= 8.790e-5 Orthomin/ILU=(34) MEM(KiB)=18158 
 +00:00:01| Step 7 Time= 0.051874 Dt= 0.011862 Nodes=231 Cells=408 DOF=1915 RMS ERR= 0.009313 MAX ERR= 0.018568 TIME ERR= 1.193e-4 Orthomin/ILU=(34) MEM(KiB)=18158 
 +00:00:01| Step 8 Time= 0.066702 Dt= 0.014827 Nodes=231 Cells=408 DOF=1915 RMS ERR= 0.011155 MAX ERR= 0.021895 TIME ERR= 1.402e-4 Orthomin/ILU=(34) MEM(KiB)=18158 
 +00:00:01| Step 9 Time= 0.085235 Dt= 0.018534 Nodes=231 Cells=408 DOF=1915 RMS ERR= 0.013179 MAX ERR= 0.025195 TIME ERR= 1.488e-4 Orthomin/ILU=(35) MEM(KiB)=18158 
 +00:00:01| Step 10 Time= 0.108403 Dt= 0.023167 Nodes=231 Cells=408 DOF=1915 RMS ERR= 0.015453 MAX ERR= 0.028244 TIME ERR= 1.454e-4 Orthomin/ILU=(34) MEM(KiB)=18158 
 +00:00:01| Step 11 Time= 0.137362 Dt= 0.028959 Nodes=231 Cells=408 DOF=1915 RMS ERR= 0.018121 MAX ERR= 0.030782 TIME ERR= 1.396e-4 Orthomin/ILU=(33) MEM(KiB)=18158 
 +00:00:01| Step 12 Time= 0.173561 Dt= 0.036199 Nodes=231 Cells=408 DOF=1915 RMS ERR= 0.021263 MAX ERR= 0.033937 TIME ERR= 1.705e-4 Orthomin/ILU=(33) MEM(KiB)=18158 
 +00:00:01| Step 13 Time= 0.218810 Dt= 0.045249 Nodes=231 Cells=408 DOF=1915 RMS ERR= 0.024831 MAX ERR= 0.040097 TIME ERR= 2.437e-4 Orthomin/ILU=(34) MEM(KiB)=18158 
 +00:00:01| Step 14 Time= 0.275371 Dt= 0.056561 Nodes=231 Cells=408 DOF=1915 RMS ERR= 0.028795 MAX ERR= 0.046690 TIME ERR= 3.385e-4 Orthomin/ILU=(35) MEM(KiB)=18158 
 +00:00:01| Step 15 Time= 0.346073 Dt= 0.070701 Nodes=231 Cells=408 DOF=1915 RMS ERR= 0.032630 MAX ERR= 0.051286 TIME ERR= 4.434e-4 Orthomin/ILU=(35) MEM(KiB)=18158 
 +00:00:01| Step 16 Time= 0.434449 Dt= 0.088377 Nodes=231 Cells=408 DOF=1915 RMS ERR= 0.034094 MAX ERR= 0.051027 TIME ERR= 5.425e-4 Orthomin/ILU=(35) MEM(KiB)=18158 
 +00:00:01| Step 17 Time= 0.544920 Dt= 0.110471 Nodes=231 Cells=408 DOF=1915 RMS ERR= 0.034260 MAX ERR= 0.049854 TIME ERR= 6.235e-4 Orthomin/ILU=(34) MEM(KiB)=18158 
 +00:00:01| Step 18 Time= 0.683009 Dt= 0.138089 Nodes=231 Cells=408 DOF=1915 RMS ERR= 0.033902 MAX ERR= 0.047790 TIME ERR= 6.907e-4 Orthomin/ILU=(34) MEM(KiB)=18158 
 +00:00:01| Step 19 Time= 0.855620 Dt= 0.172611 Nodes=231 Cells=408 DOF=1915 RMS ERR= 0.032183 MAX ERR= 0.044888 TIME ERR= 7.839e-4 Orthomin/ILU=(34) MEM(KiB)=18158 
