FlexPDE Version 6.36s/W32  14:13:44 Jan  8 2015
(Times listed are wall-clock times, not charged CPU).

START C:\Users\gasla\Documents\2CM4_DA2\assignment_2_heatflow.pde  19:55:20 2/8/24
Using 1 Thread(s)
 +00:00:01| Step 2 Time= 0.012000 Dt= 0.006000 Nodes=814 Cells=381 RMS ERR= 0.002834 MAX ERR= 0.003740 TIME ERR= 1.446e-4 MEM=1239
 +00:00:01| Step 3 Time= 0.018000 Dt= 0.006000 Nodes=814 Cells=381 RMS ERR= 9.053e-4 MAX ERR= 0.001248 TIME ERR= 7.856e-5 MEM=1239
 +00:00:01| Step 4 Time= 0.024732 Dt= 0.006732 Nodes=814 Cells=381 RMS ERR= 8.816e-4 MAX ERR= 0.001248 TIME ERR= 3.837e-5 MEM=1239
 +00:00:01| Step 5 Time= 0.032286 Dt= 0.007554 Nodes=814 Cells=381 RMS ERR= 8.702e-4 MAX ERR= 0.001246 TIME ERR= 1.324e-5 MEM=1239
 +00:00:01| Step 6 Time= 0.040761 Dt= 0.008475 Nodes=814 Cells=381 RMS ERR= 8.639e-4 MAX ERR= 0.001242 TIME ERR= 3.309e-5 MEM=1239
 +00:00:01| Step 7 Time= 0.050270 Dt= 0.009509 Nodes=814 Cells=381 RMS ERR= 8.582e-4 MAX ERR= 0.001235 TIME ERR= 4.669e-5 MEM=1239
 +00:00:01| Step 8 Time= 0.060940 Dt= 0.010670 Nodes=814 Cells=381 RMS ERR= 8.514e-4 MAX ERR= 0.001226 TIME ERR= 5.699e-5 MEM=1239
 +00:00:01| Step 9 Time= 0.072911 Dt= 0.011972 Nodes=814 Cells=381 RMS ERR= 8.427e-4 MAX ERR= 0.001213 TIME ERR= 6.572e-5 MEM=1239
 +00:00:01| Step 10 Time= 0.086344 Dt= 0.013432 Nodes=814 Cells=381 RMS ERR= 8.319e-4 MAX ERR= 0.001198 TIME ERR= 7.340e-5 MEM=1240
 +00:00:01| Step 11 Time= 0.101415 Dt= 0.015071 Nodes=814 Cells=381 RMS ERR= 8.189e-4 MAX ERR= 0.001178 TIME ERR= 8.004e-5 MEM=1240
 +00:00:01| Step 12 Time= 0.118325 Dt= 0.016910 Nodes=814 Cells=381 RMS ERR= 8.036e-4 MAX ERR= 0.001155 TIME ERR= 8.555e-5 MEM=1240
 +00:00:01| Step 13 Time= 0.137299 Dt= 0.018974 Nodes=814 Cells=381 RMS ERR= 7.845e-4 MAX ERR= 0.001127 TIME ERR= 9.011e-5 MEM=1240
 +00:00:01| Step 14 Time= 0.158588 Dt= 0.021289 Nodes=814 Cells=381 RMS ERR= 7.625e-4 MAX ERR= 0.001093 TIME ERR= 9.415e-5 MEM=1240
 +00:00:01| Step 15 Time= 0.182474 Dt= 0.023886 Nodes=814 Cells=381 RMS ERR= 7.386e-4 MAX ERR= 0.001057 TIME ERR= 9.816e-5 MEM=1240
 +00:00:01| Step 16 Time= 0.209275 Dt= 0.026801 Nodes=814 Cells=381 RMS ERR= 7.132e-4 MAX ERR= 0.001017 TIME ERR= 1.016e-4 MEM=1240
 +00:00:01| Step 17 Time= 0.239347 Dt= 0.030071 Nodes=814 Cells=381 RMS ERR= 6.868e-4 MAX ERR= 9.753e-4 TIME ERR= 1.034e-4 MEM=1240
 +00:00:01| Step 18 Time= 0.273087 Dt= 0.033740 Nodes=802 Cells=375 RMS ERR= 0.003649 MAX ERR= 0.005100 TIME ERR= 1.506e-4 MEM=1239
 +00:00:01| Step 19 Time= 0.310945 Dt= 0.037857 Nodes=816 Cells=381 RMS ERR= 0.004294 MAX ERR= 0.005991 TIME ERR= 0.004163 MEM=1243
 +00:00:01| Step 20 Time= 0.340594 Dt= 0.029650 Nodes=816 Cells=381 RMS ERR= 0.004075 MAX ERR= 0.005681 TIME ERR= 0.001815 MEM=1243
 +00:00:01| Step 21 Time= 0.370244 Dt= 0.029650 Nodes=816 Cells=381 RMS ERR= 0.003866 MAX ERR= 0.005383 TIME ERR= 7.644e-4 MEM=1243
 +00:00:01| Step 22 Time= 0.403512 Dt= 0.033268 Nodes=816 Cells=381 RMS ERR= 0.003651 MAX ERR= 0.005072 TIME ERR= 3.076e-4 MEM=1243
 +00:00:01| Step 23 Time= 0.440839 Dt= 0.037327 Nodes=816 Cells=381 RMS ERR= 0.003438 MAX ERR= 0.004753 TIME ERR= 8.084e-5 MEM=1243
 +00:00:01| Step 24 Time= 0.482720 Dt= 0.041881 Nodes=816 Cells=381 RMS ERR= 0.003235 MAX ERR= 0.004432 TIME ERR= 8.246e-5 MEM=1243
 +00:00:01| Step 25 Time= 0.529712 Dt= 0.046992 Nodes=816 Cells=381 RMS ERR= 0.003049 MAX ERR= 0.004110 TIME ERR= 1.125e-4 MEM=1243
 +00:00:01| Step 26 Time= 0.582437 Dt= 0.052726 Nodes=816 Cells=381 RMS ERR= 0.002888 MAX ERR= 0.003791 TIME ERR= 1.375e-4 MEM=1243
 +00:00:01| Step 27 Time= 0.641597 Dt= 0.059159 Nodes=816 Cells=381 RMS ERR= 0.002736 MAX ERR= 0.003459 TIME ERR= 1.614e-4 MEM=1243
 +00:00:01| Step 28 Time= 0.707974 Dt= 0.066378 Nodes=816 Cells=381 RMS ERR= 0.002521 MAX ERR= 0.003040 TIME ERR= 1.859e-4 MEM=1243
 +00:00:01| Step 29 Time= 0.782451 Dt= 0.074477 Nodes=816 Cells=381 RMS ERR= 0.002327 MAX ERR= 0.002799 TIME ERR= 2.074e-4 MEM=1243
 +00:00:01| Step 30 Time= 0.866016 Dt= 0.083564 Nodes=816 Cells=381 RMS ERR= 0.002149 MAX ERR= 0.002590 TIME ERR= 2.308e-4 MEM=1243
 +00:00:01| Step 31 Time= 0.959776 Dt= 0.093761 Nodes=816 Cells=381 RMS ERR= 0.001981 MAX ERR= 0.002392 TIME ERR= 2.537e-4 MEM=1243
 +00:00:01| Step 32 Time= 1.064978 Dt= 0.105201 Nodes=816 Cells=381 RMS ERR= 0.001822 MAX ERR= 0.002211 TIME ERR= 2.737e-4 MEM=1244
 +00:00:01| Step 33 Time= 1.183016 Dt= 0.118038 Nodes=816 Cells=381 RMS ERR= 0.001670 MAX ERR= 0.002035 TIME ERR= 2.890e-4 MEM=1244
